,time,switch exchanges
0,0,0
1,25,22
2,50,37
3,75,58
4,100,72
5,125,92
6,150,113
7,175,126
8,200,141
9,225,159
10,250,174
11,275,192
12,300,209
13,325,226
14,350,249
15,375,266
16,400,285
17,425,298
18,450,313
19,475,327
20,500,343
21,525,359
22,550,376
23,575,395
24,600,410
25,625,427
26,650,442
27,675,458
28,700,472
29,725,487
30,750,503
31,775,518
32,800,534
33,825,551
34,850,567
35,875,584
36,900,604
37,925,618
38,950,635
39,975,651
40,1000,667
41,1025,680
42,1050,695
43,1075,708
44,1100,727
45,1125,744
46,1150,756
47,1175,776
48,1200,785
49,1225,805
50,1250,826
51,1275,840
52,1300,857
53,1325,877
54,1350,894
55,1375,913
56,1400,929
57,1425,947
58,1450,961
59,1475,980
60,1500,997
61,1525,1015
62,1550,1031
63,1575,1045
64,1600,1059
65,1625,1079
66,1650,1094
67,1675,1107
68,1700,1130
69,1725,1145
70,1750,1163
71,1775,1184
72,1800,1204
73,1825,1223
74,1850,1241
75,1875,1260
76,1900,1276
77,1925,1295
78,1950,1315
79,1975,1332
80,2000,1348
81,2025,1365
82,2050,1382
83,2075,1403
84,2100,1421
85,2125,1440
86,2150,1454
87,2175,1472
88,2200,1492
89,2225,1506
90,2250,1525
91,2275,1540
92,2300,1552
93,2325,1570
94,2350,1591
95,2375,1606
96,2400,1625
97,2425,1644
98,2450,1661
99,2475,1680
100,2500,1700
101,2525,1715
102,2550,1732
103,2575,1748
104,2600,1763
105,2625,1783
106,2650,1802
107,2675,1819
108,2700,1836
109,2725,1855
110,2750,1876
111,2775,1893
112,2800,1912
113,2825,1927
114,2850,1943
115,2875,1958
116,2900,1976
117,2925,1994
118,2950,2011
119,2975,2024
120,3000,2041
121,3025,2059
122,3050,2072
123,3075,2089
124,3100,2109
125,3125,2127
126,3150,2144
127,3175,2162
128,3200,2181
129,3225,2201
130,3250,2215
131,3275,2232
132,3300,2248
133,3325,2267
134,3350,2284
135,3375,2298
136,3400,2314
137,3425,2330
138,3450,2347
139,3475,2364
140,3500,2383
141,3525,2396
142,3550,2417
143,3575,2435
144,3600,2454
145,3625,2471
146,3650,2487
147,3675,2503
148,3700,2523
149,3725,2537
150,3750,2555
151,3775,2566
152,3800,2587
153,3825,2604
154,3850,2621
155,3875,2638
156,3900,2654
157,3925,2672
158,3950,2687
159,3975,2703
160,4000,2721
161,4025,2735
162,4050,2749
163,4075,2769
164,4100,2788
165,4125,2804
166,4150,2818
167,4175,2833
168,4200,2850
169,4225,2871
170,4250,2889
171,4275,2906
172,4300,2922
173,4325,2939
174,4350,2955
175,4375,2972
176,4400,2987
177,4425,3004
178,4450,3019
179,4475,3034
180,4500,3050
181,4525,3065
182,4550,3077
183,4575,3090
184,4600,3105
185,4625,3121
186,4650,3136
187,4675,3153
188,4700,3166
189,4725,3183
190,4750,3203
191,4775,3216
192,4800,3233
193,4825,3252
194,4850,3265
195,4875,3281
196,4900,3302
197,4925,3314
198,4950,3331
199,4975,3344
200,5000,3360
201,5025,3380
202,5050,3401
203,5075,3417
204,5100,3429
205,5125,3443
206,5150,3459
207,5175,3477
208,5200,3495
209,5225,3510
210,5250,3525
211,5275,3542
212,5300,3557
213,5325,3573
214,5350,3587
215,5375,3606
216,5400,3622
217,5425,3640
218,5450,3656
219,5475,3675
220,5500,3689
221,5525,3704
222,5550,3718
223,5575,3736
224,5600,3747
225,5625,3763
226,5650,3781
227,5675,3799
228,5700,3815
229,5725,3832
230,5750,3843
231,5775,3860
232,5800,3879
233,5825,3897
234,5850,3915
235,5875,3933
236,5900,3949
237,5925,3968
238,5950,3981
239,5975,4001
